,Fitting Poly,Relevance,Regression Sum of Squares,Residual Sum of Squares,Total Sum of Squares
6,"            6             5           4         3         2
-3.212e-07 x + 0.0001286 x - 0.01885 x + 1.215 x - 32.66 x + 311.9 x - 596.2",0.8451953096220461,473971688.69188786,86811935.27765588,560783623.969697
7,"           7             6             5          4         3         2
5.243e-10 x - 5.616e-07 x + 0.0001722 x - 0.0228 x + 1.402 x - 37.01 x + 352.8 x - 682.1",0.8453724467122231,474071024.2716122,86712599.69828694,560783623.969697
8,"           8             7             6            5           4
1.414e-10 x - 7.356e-08 x + 1.527e-05 x - 0.001601 x + 0.08834 x
          3         2
 - 2.445 x + 30.46 x - 132.1 x + 84.07",0.8594013439375193,481938200.0987369,78845423.87198694,560783623.969697
9,"            9             8             7             6            5
-2.156e-12 x + 1.412e-09 x - 3.867e-07 x + 5.706e-05 x - 0.004873 x
           4         3         2
 + 0.2403 x - 6.479 x + 85.78 x - 444.9 x + 464.5",0.8629494386944622,483927913.54115576,76855710.43600063,560783623.969697
10,"            10             9             8             7             6
-4.167e-14 x  + 2.514e-11 x - 6.203e-09 x + 7.935e-07 x - 5.398e-05 x
             5            4         3         2
 + 0.001637 x + 0.005614 x - 1.536 x + 31.34 x - 197 x + 228.5",0.8643875534601932,484734384.7307518,76049239.22598961,560783623.969697
11,"           11             10             9             8             7
4.016e-15 x  - 2.935e-12 x  + 9.271e-10 x - 1.655e-07 x + 1.831e-05 x
             6           5         4         3         2
 - 0.001298 x + 0.05875 x - 1.645 x + 26.76 x - 224.4 x + 758.6 x - 492.5",0.8788674961804339,492854499.6594999,67929124.47245945,560783623.969697
12,"           12             11             10             9             8
8.312e-17 x  - 6.132e-14 x  + 1.956e-11 x  - 3.533e-09 x + 3.966e-07 x
              7           6           5          4         3         2
 - 2.863e-05 x + 0.00133 x - 0.03877 x + 0.6709 x - 6.206 x + 24.37 x - 15.71 x - 25.39",0.8855772689115312,496617229.4285434,64166393.80430164,560783623.969697
13,"            13             12           11             10             9
-9.925e-19 x  + 9.282e-16 x  - 3.8e-13 x  + 8.964e-11 x  - 1.349e-08 x
              8             7            6          5         4
 + 1.354e-06 x - 9.205e-05 x + 0.004218 x - 0.1274 x + 2.435 x
         3         2
 - 27.4 x + 159.8 x - 371.4 x + 147.2",0.886610470936135,497196628.45653075,63586991.02865152,560783623.969697
14,"            14             13             12             11
-3.116e-21 x  + 1.864e-18 x  - 2.426e-16 x  - 9.713e-14 x 
              10             9             8             7            6
 + 4.488e-11 x  - 8.618e-09 x + 9.809e-07 x - 7.185e-05 x + 0.003452 x
           5         4         3         2
 - 0.1076 x + 2.099 x - 23.95 x + 140.9 x - 329.1 x + 130.6",0.8866214479830588,497202788.02051264,63580835.28049713,560783623.969697
15,"           15             14             13             12
1.438e-21 x  - 1.416e-18 x  + 6.269e-16 x  - 1.648e-13 x 
              11             10             9             8
 + 2.861e-11 x  - 3.447e-09 x  + 2.953e-07 x - 1.813e-05 x
              7           6          5         4         3         2
 + 0.0007931 x - 0.02432 x + 0.5077 x - 6.875 x + 55.88 x - 238.2 x + 402.6 x - 100.8",0.8891369432598464,498613544.5334228,62170186.723101504,560783623.969697
