Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,4,5,4,1,0,0,2,0,15,0,34,8,8,16,0,10,50,1,63,29,8,17,45,11,53,10,36,37,31,52,55,39,65,40,21,14,41,23,51,64,88,62,108,46,152,116,85,220,110,109,208,133,301,122,159,208,219,308,283,219,220,366,343,334,228,381,527,403,517,470,727,547,568,626,608,501,562,819,647,437
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,11,10,5,4,9,4,3,5,6,4,13,13,10,16,27,-4,9,13,-1,8,1,8,13,16,23,3,-10,-6,-3,-10,2,-7,6,-9,15,-3,15,-10,2,9,7,13,0,6,25,6,-2,3,-8,-9,-9,-24,-6,-4,-10,-13,0,-7,-1,-11,0,-24,-2,12,7,8,12,-10,-14,-1,-8,6,2,2,0,16,12,15,-5,17,0,1
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,7,0,5,0,2,1,0,0,-5,1,6,10,6,6,11,-9,1,45,27,29,73,-5,97,41,40,55,63,114,102,111,165,27,47,82,2,-32,-46,16,-10,-60,39,-16,63,21,71,65,-66,28,32,37,-59,59,54,91,78,34,141,75,103,84,111,110,116,23,52,38,104,25,0,11,119,82,67,48,94,57,49,-64,85,-11,15,-173,225,15,-57,-15,-16,-2,-79,-35
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,0,1,37,0,14,22,13,24,20,31,24,34,43,41,23,25,2,12,37,4,21,29,16,11,5,11,4,0,-23,8,11,-29,0,-1,-6,-22,-10,-34,-21,-24,-6,7,0,-36,-14,-26,-43,-1,-3,-21,-4,-15,-7,-5,-11,-7,-4,0,-15,-7,-19,-8,-13,-2,-7,-4,-10,0,-13,-1,0,-9,-13,0,-5,-2,-8,-2,-3
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,-1,1,0,0,1,4,2,1,2,0,0,-2,0,0,-1,0,0,0,4,0,0,0,1,0,0,0,1,1,0,-1,0,-1,5,0,0,1,0,0,7,-2,2,0,0,-1,3,-3,0,0,1,2,0,6,2,-1,8,1,0,1,3,7,3,2,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,6,0,0,0,3,-1,0,0,2,0,2,-3,0,-1,0,0,0,0,-4,-2,0,-1,0,0,0,0,0,0,-3,0,0,0,-1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,3,0,5,2,0,11,2,11,11,10,11,17,31,29,108,35,35,-2,103,74,96,54,-85,218,-9,63,119,169,-2,54,53,60,64,160,-66,132,12,20,120,89,55,64,54,70,-24,76,231,104,110,28,73,92,121,75,61,109,59,2,99,127,77,171,89,224,155,255,-98,112,230,282,218,238,180,403,536,671,224,514,270,415,507,493,534,787,78,362
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,10,8,26,25,6,31,21,24,33,41,2,14,22,29,76,15,58,50,37,87,63,34,38,5,-5,0,15,3,5,22,11,-28,11,-14,-3,-75,21,11,31,48,24,1,5,39,46,40,31,103,33,92,86,81,71,139,50,111,96,79,44,74,109,69,87,111,50,256,70,-28,170,25,309,227,365,210,330,395,443,224,282,186
Australia,0,0,0,0,4,1,0,1,1,0,3,0,0,1,0,1,1,0,0,0,0,0,-6,0,0,0,-2,0,0,0,-1,0,0,0,0,0,0,0,10,1,3,9,12,-7,5,3,12,15,16,21,0,70,50,47,80,73,115,110,109,280,416,133,334,316,388,311,446,342,363,96,237,152,81,166,76,-218,93,110,-295,-217,72,9,35,-317,24,-147,-1396,-271,42,-154,-382,-230,-113,-78,-224,-148,-40,-60,-44,-15,-21,-19,-13,-14,-61,-37,-28,-39,2,-17,-24,-48,-18,-7,-9,4,-19,-7,-15,-30,5,-3,-9,-23,-9,4,-8,18,-10,-1,6,12
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,5,4,3,8,12,14,24,25,25,49,64,55,200,151,205,156,319,305,365,375,424,760,887,802,303,1199,626,604,245,651,83,172,93,112,-246,-239,-235,-264,-193,-448,-537,-307,-257,-278,-121,-364,-765,-620,-446,-218,-102,-283,-324,-301,-117,-160,-108,-38,-155,-165,-82,-129,-50,-11,-66,-123,-145,8,-121,-34,-28,-61,-11,-121,-42,-17,38,2,-24,-15,-173,-18,-24,14,-10,-40,-28,-14,-44,-34,-143,-27,-1
