Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,4,5,4,1,0,0,2,0,16,0,34,9,10,16,0,10,50,1,63,31,8,18,45,15,56,10,37,37,34,52,58,41,67,45,21,14,44,26,51,68,90,63,112,49,159,117,87,224,114,113,221,138,306,131,161,211,225,313,285,224,225,370,360,349,229,385,532,412,523,482,738,549,569,627,615,509,573,822,655,445
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,11,10,5,4,9,4,4,5,6,4,13,15,11,16,28,-2,11,13,0,12,1,9,14,19,23,4,-9,-6,-2,-10,2,-7,6,-8,16,-2,15,-10,2,9,7,14,0,6,25,7,-2,5,-8,-8,-9,-24,-6,-4,-10,-13,0,-7,-1,-11,0,-24,-2,12,7,8,12,-10,-14,-1,-8,6,2,3,0,17,12,15,-5,17,0,1
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,7,0,5,0,2,1,0,0,-4,2,7,11,6,6,14,-7,3,49,29,29,75,-3,101,42,43,57,67,123,116,139,184,52,69,103,22,-20,-16,37,9,-42,59,-3,73,33,87,68,-58,37,40,47,-54,67,58,97,85,39,148,81,106,90,115,112,121,29,59,43,110,33,5,19,126,89,74,54,100,64,55,-57,92,-4,25,-165,234,23,-51,-8,-8,6,-72,-27
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,0,1,37,0,14,22,13,25,20,31,24,36,43,41,26,27,6,14,38,5,22,30,19,12,6,13,5,0,-20,8,13,-27,0,1,-6,-21,-9,-34,-21,-24,-3,7,0,-36,-13,-25,-43,0,-2,-20,-4,-14,-7,-4,-11,-6,-4,0,-15,-6,-19,-8,-11,-2,-7,-4,-10,0,-13,-1,0,-9,-13,0,-5,-2,-8,-2,-3
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,2,0,-1,1,0,0,1,4,2,1,2,0,0,-2,0,0,-1,0,0,0,4,0,0,0,1,0,0,0,1,1,0,-1,0,-1,5,0,0,1,0,0,7,-2,2,0,0,-1,3,-3,0,0,2,2,0,6,2,0,8,1,0,1,3,7,3,2,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,6,0,0,0,4,0,0,0,2,0,2,-3,0,0,0,0,0,0,-4,-2,0,-1,0,0,0,0,0,0,-3,0,0,0,-1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,4,0,5,2,0,12,2,11,11,10,11,18,31,30,108,35,37,0,104,78,101,55,-81,222,-8,71,122,173,-1,58,61,67,73,170,-65,139,19,25,129,93,63,70,57,74,-13,81,244,115,119,35,78,102,128,79,68,121,68,16,103,136,86,182,96,229,164,260,-88,136,233,289,228,247,191,413,549,688,236,521,285,432,523,501,546,795,89,379
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,10,8,26,25,6,31,21,24,33,41,2,14,23,29,76,17,58,50,38,90,63,34,38,6,-5,1,16,5,6,22,12,-26,12,-13,-2,-74,21,13,33,48,24,4,6,39,47,41,31,105,34,92,88,85,72,139,52,112,97,80,45,75,110,70,90,114,55,257,73,-25,173,29,312,231,371,214,337,410,450,231,286,194
Australia,0,0,0,0,4,1,0,1,1,0,3,0,0,1,0,1,1,0,0,0,0,0,-6,0,0,0,-2,0,0,0,-1,0,0,0,0,0,0,0,10,2,3,9,13,-7,5,3,13,15,16,21,0,70,50,47,80,75,116,110,110,280,416,133,335,316,393,311,447,344,364,97,239,156,85,168,81,-213,98,115,-294,-214,75,12,36,-316,25,-147,-1393,-270,42,-154,-382,-230,-105,-74,-223,-145,-40,-54,-42,-13,-21,-18,-12,-13,-60,-37,-28,-39,2,-17,-24,-47,-18,-7,-9,4,-18,-7,-14,-30,6,-3,-8,-23,-9,5,-8,18,-10,-1,6,11
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,5,4,3,8,12,14,24,25,25,49,64,56,200,151,205,158,319,306,367,375,426,768,892,809,305,1218,635,614,263,673,103,190,105,122,-228,-221,-219,-241,-163,-426,-513,-289,-244,-260,-105,-355,-748,-599,-434,-209,-84,-262,-305,-289,-109,-154,-102,-31,-135,-154,-78,-124,-43,-9,-64,-117,-143,9,-116,-33,-25,-59,-8,-120,-40,-15,39,2,-24,-12,-172,-18,-22,18,-9,-39,-26,-12,-21,-34,-143,-27,-1
